GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.externalskill.application.adapter.dto,ExternalSkillDTO,15,0,0,0,1,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.security.domain.exception,UserNotAuthorizedException,9,0,0,0,4,0,2,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.dependency.domain.service,DependencyCheckerImpl,251,0,14,0,53,0,12,0,5,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,DeletableAvenirsBaseModel,13,0,0,0,4,0,2,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,PagedResult,9,0,0,0,1,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,PageInfo,12,0,0,0,1,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,SortCriteria,55,0,6,0,12,0,6,0,3,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,PageCriteria,57,0,4,0,8,0,5,0,3,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,AvenirsBaseModel,52,0,6,0,11,0,7,0,4,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,DateFilter,33,0,4,0,7,0,4,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model,User,35,0,0,0,7,0,3,0,3,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model.enums,ESortField,19,0,0,0,4,0,2,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model.enums,EDateFilterKey,15,0,0,0,3,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model.enums,ESortOrder,19,0,0,0,4,0,2,0,2,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.common.data.domain.model.enums,EUserCategory,15,0,0,0,3,0,1,0,1,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,RBACAssignmentService,78,0,4,0,20,0,10,0,8,0
avenirs-portfolio-security,fr.avenirsesr.portfolio.security.service,AccessControlService,437,0,26,0,113,0,26,0,13,0
